# of objectives = 3
# cur_generation = 1
4.998574e+004	5.000000e+004	5.002687e+004	1	0.000000e+000
2.072999e+007	2.073006e+007	2.073031e+007	36	1.000000e+014
1.499900e+005	1.500134e+005	1.500855e+005	4	1.000000e+014
1.059000e+007	-1.#IND00e+000	1.059029e+007	35	1.000000e+014
8.100000e+005	8.100509e+005	8.102814e+005	28	1.000000e+014
1.024999e+007	1.025002e+007	1.025016e+007	34	1.000000e+014
6.599876e+005	6.600246e+005	6.601823e+005	24	1.000000e+014
4.199981e+005	4.200388e+005	4.201918e+005	17	1.000000e+014
2.399926e+005	2.400216e+005	2.401051e+005	7	1.000000e+014
3.799923e+005	3.800270e+005	3.801435e+005	12	1.000000e+014
5.699962e+005	5.700409e+005	5.702130e+005	22	1.000000e+014
1.039993e+006	1.040064e+006	1.040348e+006	32	1.000000e+014
3.199925e+005	3.200209e+005	3.201240e+005	9	1.000000e+014
6.599978e+005	6.600525e+005	6.602653e+005	25	1.000000e+014
4.099904e+005	4.100194e+005	4.101293e+005	14	1.000000e+014
4.499901e+005	4.500298e+005	4.501394e+005	19	1.000000e+014
9.999055e+004	1.000029e+005	1.000317e+005	3	1.000000e+014
7.799928e+005	7.800530e+005	7.802889e+005	26	1.000000e+014
6.200000e+005	6.200516e+005	6.202572e+005	23	1.000000e+014
8.299900e+005	8.300486e+005	8.302718e+005	29	1.000000e+014
3.699892e+005	3.700269e+005	3.701475e+005	11	1.000000e+014
4.998574e+004	5.000000e+004	5.002687e+004	1	0.000000e+000
1.599927e+005	1.600122e+005	1.600615e+005	5	1.000000e+014
8.400000e+005	8.400671e+005	8.403550e+005	30	1.000000e+014
2.499927e+005	2.500176e+005	2.500911e+005	8	1.000000e+014
4.599905e+005	4.600198e+005	4.601236e+005	20	1.000000e+014
4.998574e+004	5.000000e+004	5.002687e+004	1	1.000000e+014
3.999922e+005	4.000323e+005	4.001622e+005	13	1.000000e+014
4.299920e+005	4.300355e+005	4.301712e+005	18	1.000000e+014
4.099998e+005	4.100266e+005	4.101338e+005	15	1.000000e+014
3.299918e+005	3.300255e+005	3.301057e+005	10	1.000000e+014
4.199871e+005	-1.#IND00e+000	4.201535e+005	16	1.000000e+014
1.899900e+005	1.900131e+005	1.900887e+005	6	1.000000e+014
4.999983e+005	5.000328e+005	5.001982e+005	21	1.000000e+014
7.899905e+005	7.900676e+005	7.903498e+005	27	1.000000e+014
1.899878e+005	1.900216e+005	1.901209e+005	6	1.000000e+014
4.998574e+004	5.000000e+004	5.002687e+004	1	0.000000e+000
4.998731e+004	5.000152e+004	5.003607e+004	2	1.000000e+014
9.100000e+005	9.100507e+005	9.102852e+005	31	1.000000e+014
1.140000e+006	1.140058e+006	1.140364e+006	33	1.000000e+014
# cur_generation = 2
2.998941e+004	3.000147e+004	3.003517e+004	1	1.000000e+014
4.998574e+004	5.000000e+004	5.002687e+004	2	0.000000e+000
4.998574e+004	5.000000e+004	5.002687e+004	2	1.000000e+014
4.998574e+004	5.000000e+004	5.002687e+004	2	0.000000e+000
4.998574e+004	5.000000e+004	5.002687e+004	2	0.000000e+000
4.998731e+004	5.000152e+004	5.003607e+004	3	1.000000e+014
4.998970e+004	5.000179e+004	5.003611e+004	4	1.000000e+014
4.998970e+004	5.000201e+004	5.003614e+004	5	1.000000e+014
5.998958e+004	6.000425e+004	6.003063e+004	6	1.000000e+014
6.999286e+004	7.000101e+004	7.002902e+004	7	1.000000e+014
8.999311e+004	9.000011e+004	9.002691e+004	8	0.000000e+000
8.999311e+004	9.000011e+004	9.002691e+004	8	0.000000e+000
8.999311e+004	9.000011e+004	9.002691e+004	8	1.000000e+014
8.999311e+004	9.000011e+004	9.002691e+004	8	0.000000e+000
8.998590e+004	9.000810e+004	9.004093e+004	8	0.000000e+000
8.998590e+004	9.000810e+004	9.004093e+004	8	1.000000e+014
8.999854e+004	9.001214e+004	9.006351e+004	9	1.000000e+014
9.999055e+004	1.000029e+005	1.000317e+005	10	1.000000e+014
9.999229e+004	1.000050e+005	1.000410e+005	11	1.000000e+014
1.199914e+005	1.200064e+005	1.200641e+005	12	0.000000e+000
1.199914e+005	1.200064e+005	1.200641e+005	12	1.000000e+014
1.399919e+005	1.400074e+005	1.400686e+005	13	1.000000e+014
1.499917e+005	1.500062e+005	1.500539e+005	14	1.000000e+014
1.499900e+005	1.500134e+005	1.500855e+005	14	1.000000e+014
1.599891e+005	1.600196e+005	1.600870e+005	15	3.333333e-001
1.599891e+005	1.600196e+005	1.600870e+005	15	1.000000e+014
1.599927e+005	1.600122e+005	1.600615e+005	15	1.000000e+014
1.699907e+005	1.700208e+005	1.700926e+005	16	1.000000e+014
1.699931e+005	-1.#IND00e+000	1.700692e+005	16	1.000000e+014
1.799912e+005	1.800165e+005	1.800711e+005	17	1.000000e+014
1.899999e+005	1.900093e+005	1.900617e+005	18	6.666667e-001
1.899878e+005	1.900216e+005	1.901209e+005	18	1.000000e+014
1.899900e+005	1.900131e+005	1.900887e+005	18	1.000000e+014
2.199927e+005	2.200105e+005	2.200730e+005	19	0.000000e+000
2.199919e+005	2.200147e+005	2.200819e+005	19	1.000000e+014
2.199919e+005	2.200147e+005	2.200819e+005	19	1.000000e+014
2.199996e+005	2.200236e+005	2.201032e+005	20	1.000000e+014
2.399931e+005	2.400064e+005	2.400681e+005	21	1.000000e+014
2.399926e+005	2.400216e+005	2.401051e+005	21	1.000000e+014
2.399996e+005	2.400247e+005	2.401293e+005	22	1.000000e+014
# cur_generation = 3
